price_group,section,item_key,color,price_rub,unit_hint
classic_frames,mounts,vsn_metal_bracket,_fixed,44,number
classic_frames,mounts,handle_frame_plastic,white,2,number
classic_frames,mounts,handle_frame_plastic,brown,2,number
classic_frames,mounts,handle_frame_plastic,gray,2,number
classic_frames,mounts,handle_frame_plastic,black,2,number
classic_frames,mounts,handle_frame_metal,white,14,number
classic_frames,mounts,handle_frame_metal,brown,14,number
classic_frames,mounts,handle_frame_metal,gray,14,number
classic_frames,mounts,handle_frame_metal,black,14,number
classic_frames,mounts,handle_door_42mm,white,80,number
classic_frames,mounts,handle_door_42mm,brown,83,number
classic_frames,mounts,handle_door_42mm,gray,160,number
classic_frames,mounts,pin_41mm,_fixed,95,rub_per_pc
classic_frames,mounts,door_latch,white,42,number
classic_frames,mounts,door_latch,brown,42,number
classic_frames,mounts,door_latch,gray,85,number
classic_frames,mounts,door_bolt,_fixed,500,number
classic_frames,mounts,screw,_fixed,1,number
plisse_nets,profiles,frame,white,163,rub_per_m
plisse_nets,profiles,frame,brown,169,rub_per_m
plisse_nets,profiles,frame,unpainted,130,rub_per_m
plisse_nets,profiles,frame,anthracite,169,rub_per_m
plisse_nets,profiles,frame,ral,163,rub_per_m
plisse_nets,profiles,sash,white,263,rub_per_m
plisse_nets,profiles,sash,brown,275,rub_per_m
plisse_nets,profiles,sash,unpainted,192,rub_per_m
plisse_nets,profiles,sash,anthracite,273,rub_per_m
plisse_nets,profiles,sash,ral,263,rub_per_m
plisse_nets,meshes,standard,_fixed,255,rub_per_unit_qtyMesh
plisse_nets,meshes,antikoshka,_fixed,700,rub_per_unit_qtyMesh
plisse_nets,meshes,antipyl,_fixed,650,rub_per_unit_qtyMesh
plisse_nets,components,insert_mesh_m,_fixed,34,rub_per_m
plisse_nets,components,insert_frame_m,_fixed,36,rub_per_m
plisse_nets,components,handle_standard,_fixed,90,number
plisse_nets,components,thread_m,_fixed,7,rub_per_m
plisse_nets,components,rivet_pc,_fixed,6,rub_per_pc
plisse_nets,components,stopper_pc,_fixed,5,rub_per_pc
plisse_nets,components,accessories_set,_fixed,270,rub_per_set
plisse_nets,components,packaging,_fixed,50,number
plisse_nets,components,magnetic_strip_m,_fixed,51,rub_per_m
plisse_nets,components,low_threshold_m,_fixed,220,rub_per_m
plisse_nets,markups,profit_multiplier,_fixed,3.35,multiplier
plisse_nets,markups,assembly_rate_standard,_fixed,750,rub_per_m2
plisse_nets,markups,assembly_rate_meeting,_fixed,800,rub_per_m2
plisse_nets,markups,waste_factor,_fixed,1.11,number
plisse_nets,markups,ral_painting_rate_m,_fixed,220,rub_per_m2
plisse_blinds,fabrics_m2,full_blackout,_fixed,520,rub_per_m2_fabric
plisse_blinds,fabrics_m2,semi_blackout,_fixed,480,rub_per_m2_fabric
plisse_blinds,lite_system,profile_m,_fixed,140,rub_per_m
plisse_blinds,lite_system,insert_m,_fixed,26,number
plisse_blinds,lite_system,accessories_set,_fixed,150,rub_per_set
plisse_blinds,cozy_system,frame_m,white,224,number
plisse_blinds,cozy_system,frame_m,anthracite,224,number
plisse_blinds,cozy_system,frame_m,brown,224,number
plisse_blinds,cozy_system,frame_m,unpainted,180,number
plisse_blinds,cozy_system,frame_m,gray,224,number
plisse_blinds,cozy_system,frame_m,black,224,number
plisse_blinds,cozy_system,frame_m,gold,224,number
plisse_blinds,cozy_system,frame_m,ral,224,number
plisse_blinds,cozy_system,sash_m,white,198,number
plisse_blinds,cozy_system,sash_m,anthracite,198,number
plisse_blinds,cozy_system,sash_m,brown,198,number
plisse_blinds,cozy_system,sash_m,unpainted,160,number
plisse_blinds,cozy_system,sash_m,gray,198,number
plisse_blinds,cozy_system,sash_m,black,198,number
plisse_blinds,cozy_system,sash_m,gold,198,number
plisse_blinds,cozy_system,sash_m,ral,198,number
plisse_blinds,cozy_system,insert_m,_fixed,28,number
plisse_blinds,cozy_system,accessories_set,_fixed,220,rub_per_set
plisse_blinds,cozy_system,assembly_rate,_fixed,750,number
plisse_blinds,cozy_system,spring_pc,_fixed,15,number
plisse_blinds,cozy_system,scotch_fix,_fixed,200,number
plisse_blinds,markups,profit_multiplier,_fixed,3.35,number
plisse_blinds,markups,assembly_rate,_fixed,750,number
roll_nets,profiles,standard,_fixed,80,rub_per_m
roll_nets,meshes,standard,_fixed,65,rub_per_m2
roll_nets,components,accessories_set,_fixed,150,rub_per_set
roll_nets,markups,profit_multiplier,_fixed,2,multiplier
roll_nets,markups,assembly_labor,_fixed,250,rub_fixed
window_works,labor_rates,seal_replacement_m,_fixed,220,rub_per_unit
window_works,labor_rates,comb_plastic,_fixed,500,rub_per_unit
window_works,labor_rates,comb_metal,_fixed,900,rub_per_unit
window_works,labor_rates,child_lock,_fixed,900,rub_per_unit
window_works,labor_rates,adjustment_window,_fixed,750,rub_per_unit
window_works,labor_rates,adjustment_door,_fixed,1200,rub_per_unit
logistics,rates,delivery_base,_fixed,1000,rub_fixed
logistics,rates,delivery_km,_fixed,50,rub_fixed
logistics,rates,measurement_fee,_fixed,1000,rub_fixed
logistics,rates,install_plisse_window,_fixed,800,rub_fixed
logistics,rates,install_plisse_door,_fixed,1200,rub_fixed
logistics,rates,install_plisse_portal,_fixed,2000,rub_fixed
logistics,rates,install_door_standard,_fixed,1000,rub_fixed
